name,lat,lon,imgurl,other
Kepala Kijang,-2.557957,112.948037,http://lh3.ggpht.com/xbLHSqFS1OsWhrHcvl_znm3gnQWU0ZRnVkwYign9rt3cfEZmaFqryPkJ7QGNtVX8TSFH5s0SXJvkdLsOvQGs,8794c8a4c9194214bf0c6954050a3f39.16
Kepala Rusa,-2.557683,112.948066,http://lh4.ggpht.com/BvRSRIRv0XMy8r118O4dirgVUDrO4OeMjivQ4dTUoecsirRsVWLLTSx5xP3-eL5KiGgLQKOWm6OMS0M6UWzfJQ,6e64c8aa3db8492e80a270196356d629.16
Gate Dinas Pu,-2.560875,112.949801,http://lh3.ggpht.com/fsJc-Wfdh3LHTcBjrjPgZLVcOCLnE8Wjh5ZPnyiYuvX-jd-gbo17URbIzYOOARMEHJpYpSbLxAFl39KH-5iZ,d963ffafbd4b4a6799221d481a647857.16
Pekerjaan Umum Mosque,-2.561315,112.949751,http://lh3.ggpht.com/kf-hKFah9P94NqIIQc4kJSHLzUJiJNSJ16WW6XaY_aqnB4gDOzlyi4aIQ1F_wKcovTYtoYkHXJ5XprdEcQUJBA,ed1a067f6ae14d2e9c3c55b795939a54.16
Muke Gile,-2.557884,112.948214,http://lh6.ggpht.com/H0upGckZr06pByEmRUYdVrQbNXVmxUms_WotLZjXCJM1GrTcd8ImHZI3ie1DlR-WML1cyYMze3HMnBuv9eos,aee53d61250d43fab3fb064b0dc53b1f.16
Joglo Nongkrong,-2.558163,112.948317,http://lh6.ggpht.com/9ducWxZ7kSXTDV_PuyuKon3RD87gAgKDSp2T5GO-jVgM5tACbi9TY1ipCCAMPgy2BHtuOJU0SB4W8wQFw58,29ac1f83cfd84c7b84521dab7f227ae0.16
Langgar Desmon Ali,-2.518689,112.965615,http://lh4.ggpht.com/ffPkieZGimIwtoisGw3GOHeElgk6wn9_4soNewmwM_RgnpaAvPqTXlX3OKuEWVA1id9uX3iJM5vuxt4WgEyY,a94968c1062e44d8b5661cb249850771.16
Gazebo at Park,-2.525223,112.945777,http://lh3.googleusercontent.com/8rrL5UiRPW5eJ_buQfwQ0qJ0wJe_qanaioZrvnCbASq3OizeLDr4S5LCqF-ZID5aegoI6KpLCY0mMPF_D1AUqw,14158d676a7c4f7ba8fc6bc48cd16868.16
Sampoera Mosque,-2.530246,112.945006,http://lh3.googleusercontent.com/4qxoTsMTQ7j8DxagB7O1PyXnuSJ_7obf2yPIR1a5jBu60u1pwbWiyz72h_79buPc5D8GmPUt-g54R_72rDA,15d5fe564744486b99aebd38b31e7c41.16
Pot Smanda,-2.523919,112.94584,http://lh3.googleusercontent.com/F28sDCRhstiLOhPbl310wzKF5PfGk_eTEjoxLRHjGxL_pZwqjqCsvCh6gl8i6FXAv7qC175oGz1BkPBU0ERsZQ,f4bc45722543426fa4c440c193042e82.16
